Accuracy,Loss,Classification_Loss,Robustness_Loss,Concept_Loss,Step
0.0703125,3.1122705936431885,2.302682876586914,0.057430196553468704,0.8095301985740662,1
0.25,2.999326705932617,2.125089645385742,0.4767455756664276,0.8737601637840271,51
0.1015625,3.116459846496582,2.3025379180908203,0.053063347935676575,0.8138688206672668,1
0.34375,2.999980926513672,2.1169238090515137,0.46254077553749084,0.8825945258140564,51
0.078125,3.1029505729675293,2.3024778366088867,0.07146088778972626,0.8004010915756226,1
0.375,3.0242156982421875,2.1285715103149414,0.4633183181285858,0.8951809406280518,51
0.109375,3.1123061180114746,2.3026411533355713,0.06267806142568588,0.8096021413803101,1
0.46875,2.9852359294891357,2.1095998287200928,0.5662037134170532,0.875069797039032,51
0.7890625,2.6883504390716553,1.7834959030151367,1.035722017288208,0.9038189053535461,101
0.9140625,2.373702049255371,1.190632700920105,3.113088607788086,1.1799561977386475,151
0.9609375,2.279851198196411,1.1478139162063599,3.202130079269409,1.1288352012634277,201
0.9140625,2.2491455078125,1.0986669063568115,3.2449700832366943,1.147233486175537,251
0.9453125,2.1865036487579346,1.0021705627441406,3.310105323791504,1.1810230016708374,301
0.9375,2.1469614505767822,0.9813810586929321,3.3807175159454346,1.1621997356414795,351
0.96875,2.175405502319336,0.9652304649353027,3.1163978576660156,1.2070586681365967,401
0.8359375,2.9680848121643066,1.6303703784942627,4.448741912841797,1.3332656621932983,422
0.8359375,2.877075672149658,1.8140467405319214,2.983435869216919,1.0600454807281494,472
0.9765625,2.1908724308013916,0.8580461740493774,4.076216220855713,1.3287500143051147,522
0.9765625,2.0605149269104004,0.8803240060806274,3.869710922241211,1.1763211488723755,572
0.9921875,2.0697333812713623,0.8513003587722778,3.209531545639038,1.2152234315872192,622
0.984375,2.038416624069214,0.8607698082923889,3.699554204940796,1.1739473342895508,672
0.984375,2.062666416168213,0.8716670274734497,3.7789740562438965,1.1872203350067139,722
0.96875,2.058971881866455,0.8990095853805542,3.2470500469207764,1.1567151546478271,772
0.96875,2.0542731285095215,0.8499858975410461,3.3013880252838135,1.2009859085083008,822
0.8359375,2.944631576538086,1.605177402496338,5.456808090209961,1.3339974880218506,843
0.875,2.8386073112487793,1.7656934261322021,3.32307505607605,1.0695908069610596,893
0.9765625,2.0893306732177734,0.8133662939071655,4.374063014984131,1.271590232849121,943
